Strength,筋力
Physical Damage and Attack and Cast Speed,物理ダメージおよびアタック・キャストスピード
Force Shaper,フォースシェーパー
Physical and Chaos Damage,物理・混沌ダメージ
Physical and Chaos Mastery,Physical and Chaos Mastery
"Armour and Evasion, Taunt Duration",アーマー・回避力および挑発持続時間
"Armour and Evasion, Attack Damage",アーマー・回避力およびアタックダメージ
"Armour and Evasion, Aura Effect",アーマー・回避力およびオーラ効果
Fortitude,不屈の精神
Unstoppable Hero,止まらぬ英雄
Conqueror,Conqueror
Worthy Foe,ふさわしい相手
Inspirational,鼓舞
"First to Strike, Last to Fall",先手必勝
"Armour and Evasion, Impale Effect","Armour and Evasion, Impale Effect"
Master of Metal,金属の支配者
Attack and Cast Speed,アタック・キャストスピード
Warcry Cooldown Speed,ウォークライクールダウンスピード
Warcry Duration,ウォークライ持続時間
Battle Cry,Battle Cry
Finesse,技巧
Attack Speed and Poison Chance,Attack Speed and Poison Chance
"Attack Speed, Poison Damage and Poison Damage Multiplier","Attack Speed, Poison Damage and Poison Damage Multiplier"
Attack Speed and Poison Duration,アタックスピードおよび毒持続時間
Swift Venoms,即効性の毒
Poison Mastery,毒マスタリー
Might,Might
Energy Shield Leech,エナジーシールドリーチ
Increased Energy Shield Leeched,エナジーシールドリーチ上昇
Ethereal Feast,霊的な馳走
Movement Speed,移動速度
Assassination,暗殺
Trap and Mine Throwing Speed,トラップ・マイン投擲スピード
Twin Terrors,対なる恐怖
Dual Wield Critical Strike Chance and Accuracy,Dual Wield Critical Strike Chance and Accuracy
Dual Wield Critical Strike Multiplier and Accuracy,二刀流クリティカルダメージ倍率および命中
Dual Wield Critical Strike Chance,二刀流クリティカル率
Doom Cast,破滅の魔法
Spell Critical Mastery,Spell Critical Mastery
Golem's Blood,ゴーレムの血
Evasion and Elemental Resistances,回避力および元素耐性
Survivalist,サバイバリスト
Thick Skin,分厚い皮膚
Blast Radius,爆発半径
Necromantic Aegis,ネクロマンティックイージス
Channelling Attack Damage and Speed,Channelling Attack Damage and Speed
Channelling Attack Damage,Channelling Attack Damage
Charging Offensive,Charging Offensive
One Handed Melee Damage and Life Leech,One Handed Melee Damage and Life Leech
One Handed Melee Damage and Attack Speed,One Handed Melee Damage and Attack Speed
Gladiator's Perseverance,剣闘士の忍耐力
One Hand Mastery,One Hand Mastery
Acrobatics Improvement,Acrobatics Improvement
Charisma,カリスマ
Leadership,リーダーシップ
Coldhearted Calculation,冷酷な計算
Piercing Shots,貫通弾
Fangs of the Viper,毒蛇の牙
Forces of Nature,自然の力
Trap and Mine Damage and Throwing Speed,トラップ・マインダメージおよび投擲スピード
Trap and Mine Critical Strike Chance,Trap and Mine Critical Strike Chance
High Explosives,高性能爆弾
Trap and Mine Critical Strike Multiplier,Trap and Mine Critical Strike Multiplier
Clever Construction,緻密な設計
Trap and Mine Mastery,Trap and Mine Mastery
Devastating Devices,破壊装置
Mana Regeneration and Intelligence,マナ自動回復および知性
Spell Damage and Intelligence,スペルダメージおよび知性
Projectile Damage and Dexterity,投射物ダメージおよび器用さ
Attack Speed and Dexterity,アタックスピードおよび器用さ
Life and Strength,ライフおよび筋力
Melee Damage and Strength,Melee Damage and Strength
Seven,七
True Strike,正確な一撃
Life and Elemental Resistances,ライフおよび元素耐性
Barbarism,蛮行
Elemental Resistances and Attack Speed with Shields,Elemental Resistances and Attack Speed with Shields
Weapon Elemental Damage and Attack Speed with Shield,Weapon Elemental Damage and Attack Speed with Shield
Command of the Elements,Command of the Elements
"Weapon Elemental Damage, Elemental Resistance with Shields and Shield Defences","Weapon Elemental Damage, Elemental Resistance with Shields and Shield Defences"
Mine Damage,マインダメージ
Mine Damage and Throwing Speed,Mine Damage and Throwing Speed
Destructive Apparatus,破壊の装置
Mine Throwing Speed,マイン投擲スピード
Melding,融合
Mana and Life Regeneration,マナおよびライフ自動回復
Totem Damage,トーテムダメージ
Shamanistic Fury,シャーマンの怒り
"Totem and Brand Damage, Totem Placement Speed","Totem and Brand Damage, Totem Placement Speed"
"Totem Life and Physical Damage Reduction, Brand Duration","Totem Life and Physical Damage Reduction, Brand Duration"
"Totem Life and Elemental Resistances, Brand Duration",トーテムライフ・元素耐性およびブランド持続時間
Primal Manifestation,原始の顕現
"Totem Duration, Attack and Cast Speed","Totem Duration, Attack and Cast Speed"
Totem Placement Speed and Duration,トーテム設置スピードおよび持続時間
Totemic Zeal,トーテミックジール
Trap Throw Speed and Damage,Trap Throw Speed and Damage
Master Sapper,マスターサッパー
Bow Damage and Movement Speed,Bow Damage and Movement Speed
Bow Damage and Evasion,弓ダメージおよび回避力
Avatar of the Hunt,狩りの化身
Path of the Savant,学者の道
Shaper,シェーパー
Path of the Marauder,マローダーの道
Passive Point,パッシブポイント
Marauder Ascendancy,マローダーアセンダンシー
Harrier,ハリアー
Energy Shield and Minion Life,Energy Shield and Minion Life
Chaos Damage and Chaos Damage Over Time Multiplier,Chaos Damage and Chaos Damage Over Time Multiplier
Chaos Resistance and Chaos Damage,Chaos Resistance and Chaos Damage
Method to the Madness,Method to the Madness
Melee Attack Speed,近接アタックスピード
Annihilation,壊滅
"Ash, Frost and Storm",灰・霜・嵐
Mana and Flasks,マナおよびフラスコ
Arcane Chemistry,アーケインケミストリー
Energy Shield and Mana,エナジーシールドおよびマナ
Insightfulness,洞察力
Energy Shield and Mana Mastery,Energy Shield and Mana Mastery
Master of Force,Master of Force
Life and Life on Kill,ライフおよび撃破時ライフ
Hired Killer,殺し屋
Mana and Mana Gain on Killing Blow,Mana and Mana Gain on Killing Blow
Thrill Seeker,Thrill Seeker
"Trap and Mine Damage, Movement Speed","Trap and Mine Damage, Movement Speed"
Pyromaniac,パイロマニア
Born in the Shadows,影より出でし者
"Trap and Mine Damage, Elemental Resistances","Trap and Mine Damage, Elemental Resistances"
Explosives Expert,Explosives Expert
"Trap and Mine Damage, Mine Throwing Speed","Trap and Mine Damage, Mine Throwing Speed"
Bomb Specialist,爆弾専門家
"Trap and Mine Damage, Trap Throwing Speed","Trap and Mine Damage, Trap Throwing Speed"
Perfect Crime,完全犯罪
Demolitions Specialist,爆破専門家
Chain Reaction,連鎖反応
"Armour, Evasion and Life",アーマー・回避力およびライフ
Attack Damage with Shield,盾装備時アタックダメージ
Defences with Shield,盾装備時防御力
Defiance,反抗
Sanctity,神聖
Cold and Lightning Damage,冷気および雷ダメージ
Cold Damage and Cold Conversion,Cold Damage and Cold Conversion
Lightning Damage and Lightning Conversion,Lightning Damage and Lightning Conversion
Storm Weaver,ストームウィーヴァー
Bleed Damage,出血ダメージ
Bleed Damage Multiplier,出血ダメージ倍率
Bleed Chance,出血付与確率
Bloodletting,流血
Bleeding Mastery,出血マスタリー
Evasion and Blind Duration,Evasion and Blind Duration
Evasion and Blind Avoidance,Evasion and Blind Avoidance
Evasion and Blind Chance,Evasion and Blind Chance
Silent Steps,サイレントステップ
Attack Damage and Speed while Fortified,Attack Damage and Speed while Fortified
Fortify Effect and Duration,Fortify Effect and Duration
Rampart,城壁
Fortify Mastery,堅牢化マスタリー
Blast Cascade,Blast Cascade
Mine and Trap Mastery,Mine and Trap Mastery
"Armour, Endurance Charge Duration",アーマーおよびエンデュランスチャージ持続時間
"Armour, Attack Speed",アーマーおよびアタックスピード
"Armour, Stun Duration",アーマーおよびスタン持続時間
Unyielding,不屈のライフ回収
Undeniable,拒ませぬ者
Unflinching,怯まない
Unrelenting,不休の
"Armour, Movement Speed",アーマーおよび移動スピード
Unstoppable,止まらぬ
Unbreakable,アンブレイカブル
Dagger Damage and Leech,短剣ダメージおよびリーチ
Stabbing Thirst,Stabbing Thirst
"Physical Attack Damage, Life Leeched per Second","Physical Attack Damage, Life Leeched per Second"
"Physical Attack Damage, Critical Strike Chance","Physical Attack Damage, Critical Strike Chance"
"Physical Attack Damage, Attack Speed","Physical Attack Damage, Attack Speed"
"Physical Attack Damage, Warcry Duration","Physical Attack Damage, Warcry Duration"
War Bringer,戦を呼ぶ者
Rite of Ruin,破滅の儀式
Pain Reaver,Pain Reaver
Flawless Savagery,Flawless Savagery
Crave the Slaughter,虐殺の渇望
Aspect of Carnage,殺戮の様相
Blitz,Blitz
Warcry Buff Effect,ウォークライバフ効果
Words of Glory,Words of Glory
"Ngamahu, Flame's Advance",進みし炎、ナマフ
"Hinekora, Death's Fury",怒れる死、ヒネコラ
"Ramako, Sun's Light",太陽の光　ラマコ
"Energy Shield, Curse Effect",エナジーシールドおよび呪い効果
"Energy Shield, Cold and Chaos Damage",エナジーシールドおよび冷気・混沌ダメージ
"Energy Shield, Power Charge Duration",エナジーシールドおよびパワーチャージ持続時間
"Energy Shield, Energy Shield Recharge Rate",エナジーシールドおよびエナジーシールドリチャージレート
Profane Bloom,不浄な開花
Malediction,Malediction
Vile Bastion,卑劣な要塞
Void Beacon,空虚な目印
Forbidden Power,禁じられた力
"Energy Shield, Chaos Damage over Time Multiplier","Energy Shield, Chaos Damage over Time Multiplier"
"Energy Shield, Cold Damage over Time Multiplier","Energy Shield, Cold Damage over Time Multiplier"
Withering Presence,ウィザリングプレゼンス
Frigid Wake,極寒の目覚め
Minion Damage and Life,ミニオンダメージおよびライフ
"Minion Damage, Skill Duration",ミニオンダメージおよびスキル持続時間
"Minion Damage, Mana",ミニオンダメージおよびマナ
Mindless Aggression,心無き侵略
Unnatural Strength,異常な強さ
Bone Barrier,ボーンバリア
Mistress of Sacrifice,生贄の女王
Commander of Darkness,闇の指揮者
"Minion Damage, Cast Speed",ミニオンダメージおよびキャストスピード
Plaguebringer,疫病をもたらす者
Corpse Pact,コープスパクト
Trap Damage and Cooldown Recovery,Trap Damage and Cooldown Recovery
Hasty Reconstruction,Hasty Reconstruction
"Minion Damage, Aura Effect",ミニオンダメージおよびオーラ効果
"Attack Damage, Critical Strike Chance",アタックダメージおよびクリティカル率
"Attack Damage, Attack Speed",アタックダメージおよびアタックスピード
"Attack Damage, Life Leech",アタックダメージおよびライフリーチ
"Attack Damage, Area of Effect",アタックダメージおよび効果範囲
Bane of Legends,伝説を滅ぼす者
Overwhelm,圧倒
Headsman,死刑執行人
Endless Hunger,絶え間ない飢え
Brutal Fervour,残忍な熱情
Impact,衝撃
"Attack Damage, Frenzy and Endurance Charge Duration",アタックダメージおよびフレンジー・エンデュランスチャージ持続時間
Masterful Form,優れた型
"Attack Speed, Physical Damage","Attack Speed, Physical Damage"
"Attack Speed, Block Chance",アタックスピードおよびブロック率
Attack Speed and One Handed Damage,アタックスピードおよび片手武器ダメージ
Gratuitous Violence,理由なき暴力
Blood in the Eyes,Blood in the Eyes
Outmatch and Outlast,Outmatch and Outlast
Painforged,Painforged
Violent Retaliation,Violent Retaliation
"Attack Speed, Movement Speed","Attack Speed, Movement Speed"
Arena Challenger,Arena Challenger
Righteous Providence,正義の摂理
"Mana Regeneration, Spell Damage","Mana Regeneration, Spell Damage"
"Mana Regeneration, Totem Placement Speed",マナ自動回復およびトーテム設置速度
"Mana Regeneration, Mana",マナ自動回復およびマナ
"Mana Regeneration, Power and Endurance Charge Duration","Mana Regeneration, Power and Endurance Charge Duration"
Divine Guidance,神の導き
Sanctuary of Thought,思考の聖域
Pursuit of Faith,信仰の追求
Ritual of Awakening,悟りの儀式
Conviction of Power,力の確信
Illuminated Devotion,悟りの信仰
Arcane Blessing,アーケインブレッシング
"Mana Regeneration, Brand Damage",マナ自動回復およびブランドダメージ
Sign of Purpose,目的の印
"Critical Strike Chance, Power Charge Duration",クリティカル率およびパワーチャージ持続時間
Unstable Infusion,アンステイブルインフュージョン
Deadly Infusion,Deadly Infusion
Critical Strike Chance and Multiplier,クリティカル率・ダメージ倍率
Ambush and Assassinate,Ambush and Assassinate
Opportunistic,オポチューニスティック
